Country Name,Country Code,Agricultural land (% of land area),Current account balance (% of GDP),Electricity production from coal sources (% of total),Fossil fuel energy consumption (% of total),Electric power consumption (kWh per capita),CO2 emissions (kg per 2000 US$ of GDP),CO2 emissions (metric tons per capita),"PM10, country level (micrograms per cubic meter)",Population density (people per sq. km),Population in urban agglomerations of more than 1 million (% of total population),"Inflation, consumer prices (annual %)",Real interest rate (%),"Highest marginal tax rate, corporate rate (%)","Highest marginal tax rate, individual rate (%)",Tax revenue (% of GDP),Ease of doing business index (1=most business-friendly regulations),Cost to export (US$ per container),Cost to import (US$ per container),Rigidity of employment index (0=less rigid to 100=more rigid),Total tax rate (% of profit),Information and communication technology expenditure per capita (current US$),Mobile cellular subscriptions (per 100 people),Telephone lines (per 100 people),Fixed broadband Internet subscribers (per 100 people),Internet users (per 100 people),General government final consumption expenditure (% of GDP),"Household final consumption expenditure, etc. (% of GDP)",Exports of goods and services (% of GDP),Gross capital formation (% of GDP),Imports of goods and services (% of GDP),GDP per capita (constant 2000 US$),GDP per capita growth (annual %),"Expenditure per student, primary (% of GDP per capita)","Expenditure per student, secondary (% of GDP per capita)","Public spending on education, total (% of GDP)","Health expenditure, private (% of GDP)","Health expenditure, public (% of GDP)",Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment in services (% of total employment),"Labor participation rate, total (% of total population ages 15+)",Labor force with primary education (% of total),Labor force with secondary education (% of total),Labor force with tertiary education (% of total),Long-term unemployment (% of total unemployment),"Unemployment, total (% of total labor force)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Population ages 15-64 (% of total),Researchers in R&D (per million people),Urban population (% of total),"Tariff rate, applied, weighted mean, all products (%)",High-technology exports (% of manufactured exports),GDP constant (2005 US$),GDP (current US$),Gross capital formation (% of GDP),Gross capital formation (annual % growth),Mortality rate infant (per 1000 live births),Mortality rate under-5 (per 1000 live births),Population (Total),Population (ages 0-14 % of total),Population (ages 15-64 % of total),Arable land (% of land area),Cereal yield (kg per hectare),Land under cereal production (hectares),LFP Female 15-64 ILO ,LFP Male 15-64 ILO ,LFP Total 15-64 ILO ,LF Tertiary Female %,LF Tertiary Male %,LF Tertiary Total %,Tertiary Enroll Female,Tertiary Enroll Male,Tertiary Enroll Total,Year
Belgium,BEL,46.00396301,3.471662332,13.61065996,75.33155598,8576.236985,0.452739773,10.72044247,24.02197924,344.1585406,17.53180937,2.091938708,3.782907477,33.99,50,25.93429038,20,,,17,,1848.005437,87.62690062,46.0699015,15.54481577,53.55200471,22.68752686,52.89675922,83.45224792,20.14888679,79.18542079,23679.03843,2.520869991,19.84182525,33.31189941,5.987781051,2.530823916,6.995201793,2.2,24.9,72.5,51.9,,,,49.6,7.400000095,79.10487805,76.3,65.63081095,3126.713217,97.26,2.07,8.035377278,3.70856E+11,3.61683E+11,20.89588619,9.099949489,4.1,5,10421137,17.17636108,65.56558228,27.74108322,9184.908,319218,58.09999847,73.19999695,65.69999695,39.09999847,31.20000076,34.70000076,67.31556,56.31319,61.74322,2004
Canada,CAN,7.428594679,2.312541518,16.87979795,75.97322444,17235.41178,0.678612996,17.29872943,19.64948804,3.518443373,42.86250664,1.857258719,3.028057983,36.1,29,14.05074107,8,,,4,,2144.813641,46.94483513,64.2694171,16.92764494,65.92343179,19.16458738,55.79991432,38.42104815,20.72333638,34.10888623,25491.30289,4.361880919,,,,2.920925055,6.893447785,2.7,22.8,74.5,67,15.39999962,42,42.59999847,9.5,7.199999809,80.14146341,77.8,69.09839674,3997.595814,79.98,1.51,12.38716175,1.10053E+12,9.92226E+11,20.72327497,8.355796247,5.2,6.1,31995000,17.97459602,69.0533371,4.994661027,3141.885,16161700,73.40000153,82.90000153,78.09999847,47.29999924,38.5,42.59999847,,,,2004
Switzerland,CHE,39.075,15.5519226,0,54.51767618,8205.877888,0.155664208,5.473503241,24.99537536,184.739527,14.97300033,0.802903084,2.609414456,24.1,40.4,9.979079114,19,,,7,,3775.540775,84.91364978,71.09266333,16.60983196,66.62094841,11.74764875,60.33356323,46.32884487,21.02938657,39.43944341,35162.2465,1.83026879,24.65398507,27.65071717,5.913405105,4.702035318,6.598446095,3.8,23.6,72.6,67.1,15.80000019,57.20000076,27,33.5,4.300000191,81.08780488,78.6,67.80535726,3435.562508,73.3,1.27,21.96424336,3.74657E+11,3.74224E+11,21.03394832,2.971320972,4.4,5.2,7389625,16.55170441,67.76895905,10.215,6732.487,161753,74,87.90000153,80.90000153,18.70000076,33.90000153,27,41.25536,49.69665,45.51139,2004
Czech Republic,CZE,55.20320994,-5.249356269,61.08485499,83.70595089,6218.862617,1.942578878,12.18880628,22.77871603,132.2290448,11.40328089,2.83242074,1.429019924,28,32,15.69713532,66,,,11,,886.3461199,105.5457137,33.55188559,2.310059029,31.44122914,22.08307487,50.33793266,70.14895043,27.51099382,70.08095178,6274.548962,4.396126155,12.67892914,23.03106574,4.367466947,0.868447764,6.497223084,4.3,39.2,56.5,58.9,7.800000191,79,13.19999981,51.8,8.300000191,75.72195122,72.6,70.91985595,1601.110994,73.6,2.07,12.91042748,1.21826E+11,1.13977E+11,27.10953812,6.766137763,4.6,5.5,10197101,15.05344582,70.94602203,41.62567952,5448.912,1613601,62.20000076,78,70.19999695,11.89999962,14.10000038,13.10000038,46.32838,42.17694,44.20706,2004
Germany,DEU,48.77999828,4.662673363,50.14659238,82.45538963,7082.532229,0.426111847,10.03249857,19.39597807,236.5921668,7.721063427,1.669247978,,38.29,45,10.86118775,27,,,42,,1950.692916,86.43388423,66.07910563,8.483177556,60.97568418,18.80953458,58.93934597,38.44226333,17.14324483,33.33438871,23544.28455,1.238037972,16.33166075,21.72649864,4.591267605,2.429508345,8.133746438,2.3,31.3,66.3,57.6,16.60000038,58.29999924,25.10000038,51.8,10.69999981,78.4804878,75.7,67.04930381,3279.977583,73.34,2.07,17.31229961,2.74744E+12,2.72634E+12,17.63082388,-0.749393998,4,4.9,82516260,14.57344246,67.01055145,34.11417266,7357.229,6946946,66.19999695,79.5,73,21.39999962,26.79999924,24.39999962,,,,2004
Denmark,DNK,62.36153665,2.427527139,46.18257364,85.49984525,6619.112834,0.303862351,9.356766497,19.62370341,127.2961819,20.61533995,1.16016507,,30,59,30.79458184,5,,,7,,2332.440267,95.66270463,64.63974426,18.84022686,75.86613066,26.53344064,48.23493705,45.35623184,20.35964206,40.48425159,30792.77989,2.031278664,24.85022874,35.35670239,8.430547409,1.535691389,7.914785361,3.3,23.6,72.8,66.1,,,,22.6,5.199999809,77.49268293,75.2,66.22467511,4843.532766,85.74,2.07,19.71596573,2.51525E+11,2.44728E+11,20.35957386,6.744810608,4.2,5.1,5404523,18.77757072,66.22864532,53.47631393,6013.149,1490600,75.90000153,83.90000153,80,33.79999924,28,30.70000076,87.08081,62.07355,74.44244,2004
Spain,ESP,58.23750952,-5.253798717,28.9719525,81.80452101,5924.085858,0.515356077,7.944195926,33.95348179,85.52355864,23.62884545,3.037486218,,35,45,11.76207609,51,,,49,,1227.099142,90.46870758,42.00932969,7.96739175,40.16827647,17.80600731,57.9137546,25.94412645,28.27516343,29.9390518,15414.96506,1.604684931,18.87064237,23.64790537,4.248801011,2.412126862,5.776287034,5.5,30.4,64.1,55.3,,,,37.7,11,80.09365854,76.84,68.7250902,2377.152746,76.62,2.07,7.039973005,1.09168E+12,1.04461E+12,28.30247214,5.197461607,5,5.9,42921895,14.46927071,68.74434662,26.09279218,3760.472,6597267,56.90000153,80.59999847,68.90000153,35.09999847,26.20000076,29.79999924,72.55499,59.35182,65.79629,2004
Finland,FIN,7.396828524,6.639048122,19.95643412,53.28697164,16785.69181,0.497072374,12.79912003,18.46448536,17.16452665,20.23881071,0.187123375,3.39935407,29,34,22.56684281,14,,,41,,2731.895313,95.40672159,45.29332733,15.30179977,70.32636406,21.96808371,52.28856114,39.99986855,18.79288587,33.04939927,25749.007,3.764526509,18.49652475,32.31693315,6.416782092,2.223449074,6.011133676,4.9,25.4,69.3,62,21.70000076,45,33.20000076,23.4,8.800000191,78.71463415,75.3,66.71585451,7843.688254,62.14,2.07,20.94329278,1.90231E+11,1.89065E+11,19.99198771,5.970471732,3.1,3.8,5228172,17.52925491,66.72962952,7.28520306,3210.629,1127100,72,76.69999695,74.40000153,37.40000153,28.5,32.79999924,97.96008,81.75459,89.6746,2004
France,FRA,54.06723027,0.535090321,4.785760977,52.16785697,7941.588412,0.275418702,6.441483474,14.01115196,110.5065861,22.88297699,2.134874759,4.932668337,34.33,48.1,22.21482012,31,,,52,,1883.63935,73.60072617,55.6879776,10.84083972,39.21274321,23.71850434,56.61867414,25.70857896,19.56108612,25.60684356,22707.18,1.824306312,17.78558722,29.02386493,5.808730211,2.280723418,8.72456217,3.9,24.2,71.7,56,,,,40.9,9.199999809,80.16341463,76.7,65.11067282,3337.878686,76.52,2.07,19.54052364,2.09823E+12,2.05568E+12,19.21668625,7.03769999,3.9,4.7,62702121,18.55605125,65.05866241,33.70825497,7538.175,9354603,63.90000153,75.19999695,69.5,29.10000038,24.70000076,26.70000076,60.0878,48.06384,54.01327,2004
United Kingdom,GBR,70.47906419,-2.06198171,34.06489476,88.62172221,6149.663163,0.333658262,9.099749306,15.81712809,247.5090522,26.14891333,2.964426877,1.638049757,30,40,26.55766296,6,,,10,,2295.408978,99.67944317,57.74309611,10.22698865,62.77602663,20.92919442,64.72481122,25.22054007,17.06878722,27.94333292,27272.66288,2.223956888,17.74839474,26.60630169,5.32879775,1.482181752,6.572407848,1.3,22.2,76.3,61.4,19.5,43.40000153,29.39999962,21.4,4.599999905,78.83902439,76.8,65.80731842,2936.062976,89.64,2.07,24.16445133,2.24862E+12,2.22082E+12,17.31669756,6.190368166,5.2,6.1,59978349,18.11451721,65.97296906,24.05241185,7030.512,3133200,68.80000305,82,75.40000153,30.20000076,28.5,29.29999924,68.43746,49.83924,58.98261,2004
Greece,GRC,64.86423584,-5.840927944,60.15676806,93.78934258,5149.908468,0.647192833,8.775978484,39.3367305,85.81652444,29.12622325,2.898847969,,35,40,19.52881098,100,,,47,,976.3126505,84.29348882,57.42583226,0.46516148,19.69760662,17.05384485,70.23060496,22.03068593,22.6568543,31.97199004,13560.06747,4.618138952,15.00059617,20.51234119,3.835309955,3.537242199,5.116464264,12.6,22.5,64.9,53.7,,,,54.8,10.19999981,78.94146341,76.6,67.75678878,,60.26,2.07,11.42321548,2.34723E+11,2.2795E+11,24.39611557,-2.375243523,5.2,5.9,11061701,14.46359158,67.22627258,20.39565555,4033.972,1261210,54.29999924,78.59999847,66.5,25.89999962,21.39999962,23.20000076,86.94661,74.07284,80.21409,2004
Hungary,HUN,65.43182325,-8.297635652,24.73893438,81.88247888,3680.168467,1.022264451,5.74805034,17.76446854,112.7777951,16.83307038,6.779975342,7.963919664,16,38,20.66684149,41,,,22,,1036.955858,86.34670955,35.26217985,4.067528064,27.72988537,9.993402924,67.39554859,63.20433496,25.93273631,66.52602279,5622.860438,4.932103919,23.33828217,23.50579733,5.43432921,2.209870631,5.793351089,5.3,32.8,61.9,49.4,15.39999962,64.69999695,20,45.1,5.800000191,72.64878049,68.6,68.70541195,1475.19896,65.96,2.07,28.91524267,1.06115E+11,1.01926E+11,25.90483105,14.95304277,7.5,8.7,10107146,15.75376701,68.67556,51.30551216,5589.944,3001698,53.90000153,67.19999695,60.40000153,22.60000038,17.60000038,19.89999962,70.34861,50.37061,60.15263,2004
Ireland,IRL,62.49092757,-0.583707393,24.70354947,94.56612723,6171.14626,0.362862024,10.61523873,18.34285935,59.05719263,25.2401283,2.194873403,0.435502454,12.5,42,24.78589064,7,,,10,,2222.31951,94.87642714,49.52746132,3.7385245,33.80198847,15.40202047,44.99314811,83.81911523,24.50938788,68.72367169,29254.20137,2.831666841,14.27993301,21.14630636,4.717160791,1.646584997,5.867427421,6.3,27.6,65.6,60.4,28.20000076,38.70000076,30.79999924,34.3,4.5,78.85463415,76.44,68.46585142,2683.155849,60.22,2.07,33.83303191,1.90966E+11,1.86281E+11,24.79450966,6.975977328,4.7,5.6,4070262,20.64445305,68.28072357,17.49165336,8158.738,306605,58.09999847,79.40000153,68.90000153,36.40000153,26.39999962,30.60000038,62.84258,49.68086,56.1747,2004
Iceland,ISL,22.75311721,-9.948952733,0,25.20783848,28213.31278,0.223513711,7.639183231,17.99266124,2.913677292,,3.156722772,9.273278673,18,25.8,25.87367518,11,,,21,,,99.30565721,65.21071946,19.09097408,82.08324594,25.07967276,57.1298038,34.11640457,23.42141204,39.74729318,34177.69401,6.764740694,24.51595656,23.11641449,7.483249456,1.85967678,8.037206458,6.4,22.4,70.9,78.3,,,,11.2,3.099999905,80.90731707,79.2,65.87360697,,92.2,,6.43470703,15188217867,13251434311,23.49740766,29.44591458,2.6,3.3,292074,22.303442,65.98390198,1.286783042,,,80.69999695,87.40000153,84.09999847,26.39999962,21.5,23.79999924,89.46178,47.88073,68.38998,2004
Israel,ISR,23.45194085,1.68562808,77.58869156,96.92547678,6512.263181,0.478313342,9.274348656,34.82458223,314.6487985,57.95984726,-0.413701804,7.452263961,36,49,26.58933,29,,,17,,1165.968934,106.0648407,42.53194302,14.39271552,21.98009987,26.45511952,55.56102795,41.26576489,17.95570878,41.23762115,19389.69258,3.15868301,20.75322526,21.14111561,6.403081,3.174794863,4.750896507,2,22.2,75,56.2,6.800000191,7.199999809,82.90000153,,10.30000019,80.14634146,78,61.95866782,,91.56,1.36,18.81836512,1.27652E+11,1.26571E+11,17.44833349,2.175442173,4.7,5.8,6809000,27.93823624,62.06090546,14.3715342,3067.183,89130,57.70000076,66.90000153,62.29999924,49.5,39.20000076,44,64.57344,48.7991,56.50298,2004
Italy,ITA,50.59835453,-0.952327393,17.20113464,90.76866862,5640.091241,0.409929551,8.028511619,27.9850089,197.7809886,17.57748563,2.206736353,2.79777016,37.25,45,21.57437965,74,,,38,,1561.902577,107.8636466,44.61859243,8.121144197,31.4280253,19.8513843,58.62709153,25.35699978,20.79860056,24.63407618,19585.10089,0.535877012,24.81295097,27.18914474,4.576762434,2.080371965,6.573483863,4.2,30.8,64.9,49.4,,,,49.7,7.900000095,80.65308689,77.76616209,66.35559078,1235.395893,67.52,2.07,7.804625733,1.76979E+12,1.73552E+12,20.99515588,2.021887877,3.8,4.5,58175310,14.11744308,66.46507263,27.12653838,5444.445,4276507,50.5,75.19999695,62.90000153,16.60000038,11.5,13.5,70.6837,52.76743,61.53445,2004
Japan,JPN,12.93278464,3.735598656,27.22553319,82.41366665,8041.436745,0.258578044,9.889539249,31.01843042,350.5102881,47.96022104,-0.008308408,2.900114002,42,50,,13,,,12,,2378.184158,71.59774892,46.65586525,15.30760248,62.20990756,17.95362255,57.07649815,13.30173034,23.03822138,11.37007243,38245.85838,2.736207233,22.72830086,22.66472911,3.66142391,1.4691912,6.572897912,4.5,28.4,66,60.5,,,,33.7,4.699999809,82.0302439,78.64,66.67644862,5316.248429,65.84,2.82,23.68420235,4.51308E+12,4.6558E+12,22.50379324,2.548635743,2.9,3.9,127761000,13.93490791,66.77361298,12.01371742,5942.554,2018281,60.20000076,84.40000153,72.40000153,,,,50.30281,56.702,53.57715,2004
"Korea, Rep.",KOR,19.55174551,3.902280552,38.80478544,82.7208842,7397.48954,0.766983598,10.20381174,39.88362041,496.1681471,48.42926997,3.587014369,2.78607382,29.7,36,14.24559039,23,,,38,,1424.450914,76.15906243,49.05959741,24.8161702,69.62358084,13.31825762,52.59123705,40.88306742,29.93268655,36.72524863,13303.82,4.227017554,18.06659105,23.53115795,4.359848466,2.624540403,2.705191133,8.1,27.5,64.3,61.5,25.2,43.6,21.5,1.1,3.700000048,77.84658537,74.51,71.58466235,3298.109306,80.56,9.21,32.75507621,8.12703E+11,7.21975E+11,29.93268655,2.623197609,5.2,6,48039415,19.5504055,71.55388641,17.07291882,6496.657,1095237,53.90000153,76.90000153,65.59999847,26.29999924,34.59999847,31.20000076,69.76635,108.92266,90.25742,2004
Luxembourg,LUX,49.42084942,11.99238338,0,91.34684148,16256.45336,0.482165355,24.138993,15.06459893,176.8706564,,2.22568082,,30.38,38.95,24.39715116,53,,,56,,,102.5988059,53.48235628,7.967779609,65.37945186,16.9417138,37.04522525,152.7693501,21.60774187,128.364031,50063.72347,2.92528968,20.585524,22.79302754,,0.799418605,7.30377907,2,18.7,74.1,54.5,,,,21,5.099999905,79.09731707,75.99,67.22262319,4428.173019,83,2.07,10.2107099,35764313784,34077095478,21.67975368,4.447367971,3.1,3.8,458095,18.76589012,66.81814575,23.93822394,6396.626,27981,55.59999847,75.19999695,65.5,25.10000038,28.20000076,26.89999962,,,,2004
Netherlands,NLD,57.02014218,7.558671067,26.03651881,93.95646736,6919.656662,0.440974096,10.91274224,35.76307095,482.2788116,12.39078199,1.223321187,2.002761179,34.5,52,21.62916545,28,,,42,,2548.827767,90.8994165,48.28110224,19.69077901,68.35175482,24.21536532,49.42770937,66.39283853,18.98351738,59.0194306,24746.90089,1.881948507,18.2202557,24.94620876,5.455713745,3.208777159,5.827754976,3.1,19.1,72.9,64.3,,,,32.5,5.099999905,78.69268293,76.4,67.55954074,2557.910315,79.52,2.07,30.07436738,6.25667E+11,6.0989E+11,18.98351738,0.162256747,4.6,5.6,16281779,18.53564262,67.5743103,33.39751185,8410.887,216753,69.30000305,84,76.69999695,28.29999924,29.10000038,28.79999924,58.97294,55.10541,57.00815,2004
Norway,NOR,3.417904562,12.76202659,0.09619835,58.1492751,24213.89606,0.253398595,10.08648265,18.60136256,15.0911989,,0.46539115,-1.190410893,28,47.5,27.96222235,10,,,44,,2448.315988,98.53656943,47.48372696,14.62703209,74.94528468,21.41630633,45.0907351,42.03395101,19.95994357,28.50093601,39804.80893,3.252259213,20.02130132,30.06527269,7.465664893,1.586939148,8.065100018,3.6,20.8,75.5,66.4,,,,9.2,4.400000095,79.84146341,77.5,65.6780632,4601.302358,77.06,,18.2683096,2.96387E+11,2.60029E+11,20.30839588,17.79197537,3.4,4.2,4591910,19.77513504,65.45510864,2.855922177,4401.481,328200,75.09999847,81.90000153,78.5,34.29999924,29.89999962,32,96.03983,63.06082,79.28231,2004
New Zealand,NZL,47.64110418,-6.119200627,11.05568635,68.26773538,9721.345566,0.560718412,8.214531131,14.96864137,15.26838743,28.41480122,2.597695988,5.960880394,33,39,30.15751131,2,,,7,,1353.053176,74.05504587,44.04892966,4.689785933,61.48613456,17.57088762,58.408548,28.90130351,24.81783758,29.69857671,14650.01139,2.23764788,19.23181274,22.45745423,6.733254004,1.947328758,6.531554062,7.5,22.7,69.6,66.6,0.600000024,55.09999847,23.29999924,11.7,3.900000095,79.54878049,77.5,66.18157254,,86.1,5.61,10.19420566,1.10125E+11,1.02984E+11,24.15594874,9.465359064,5.5,6.7,4087500,21.79800606,66.28012848,1.595078045,7275.928,114762,69.40000153,83.80000305,76.40000153,27,20,23.20000076,98.73718,68.7194,83.56218,2004
Poland,POL,53.65428853,-3.982689496,94.06358571,95.62254575,3416.118632,1.584111977,7.982506623,38.69279141,125.4755899,4.41688281,3.576547231,3.339393215,19,40,15.69444012,72,,,25,,419.2512552,60.48905168,32.87780633,2.126109895,28.97945541,18.53257239,63.74968417,37.49234212,20.06861592,39.8432146,5039.105026,5.406373598,22.77806579,21.56911,5.405123599,1.946053056,4.254665574,18,28.8,53.2,54.4,12.5,70,17.39999962,47.9,19,74.48780488,70,70.05204154,1593.754649,61.54,2.07,3.268740449,2.93303E+11,2.52769E+11,20.06861806,14.72270737,6.7,7.8,38182222,16.89432907,69.97914124,41.43936904,3537.565,8377273,57.70000076,69.59999847,63.59999847,20.70000076,14,17,71.68941,51.12028,61.23115,2004
Portugal,PRT,41.71584699,-7.512610821,33.14520267,82.73793397,4525.72468,0.538812911,5.982367194,26.12473621,114.7755685,38.328486,2.355978699,,27.5,40,20.59198074,48,,,43,,1043.013753,100.65831,40.35692554,7.982992122,29.298804,20.63915409,64.05625555,28.41411801,23.11750666,36.2270343,11102.86535,0.926495957,23.07050455,34.64041484,5.330704579,2.789881217,7.185279751,12.1,31.2,56.6,61.7,,,,43.2,6.699999809,78.1697561,74.96,67.43032104,1972.317696,56.96,2.07,8.48250791,1.90372E+11,1.85397E+11,23.98359146,3.709784498,4,5.1,10483861,15.68232346,67.35274506,16.79781421,2945.457,462756,66.80000305,78.80000305,72.69999695,17.10000038,10,13.30000019,63.58852,48.10669,55.71149,2004
Slovak Republic,SVK,40.20790021,-5.882514876,20.07550886,72.21707623,5088.203812,1.132235256,7.191241849,16.53658509,111.9012367,,7.548500882,3.017725889,19,19,15.85264874,35,,,22,,481.2998115,79.42785177,23.23133739,1.463348615,46.45561479,19.02035599,57.26894097,74.59913673,26.40943507,77.29786876,6351.367181,4.97591538,11.85055114,16.63846843,4.188987197,1.892644758,5.323693198,5.1,39,55.7,60.2,8.100000381,78.40000153,13.39999962,60.6,18.10000038,73.95853659,70.3,71.06418209,1990.879824,56.22,2.07,5.35840497,57501614227,56073225726,26.34279345,15.7895803,8.7,10.2,5372280,17.28197098,71.11042023,28.96049896,4640.753,818331,62.90000153,76.69999695,69.80000305,14,12.30000019,13.10000038,39.7814,32.43947,36.03493,2004
Slovenia,SVN,24.42899702,-2.646480309,33.99253487,69.30845841,6830.746427,0.653668683,7.465606747,30.02557386,99.15590416,,3.589026796,5.107044203,25,50,20.5568771,58,,,54,,657.5845059,92.57071024,40.61201986,5.7620934,36.94541979,18.90113539,54.95897539,58.0038213,27.43509419,59.29902627,11421.08677,4.218644331,,,5.75992539,2.269724705,6.146779232,9.6,35.9,53.2,59,17.60000038,63,19.60000038,53.1,6.099999905,77.61219512,74.1,70.28218951,2017.570385,49.76,2.07,5.543340067,34341578807,33837749815,27.48234858,10.20427905,3.7,4.5,1997012,14.40866184,70.32836151,8.738828203,5815.138,100729,65.30000305,74.59999847,70,23.89999962,16,19.60000038,84.57922,61.30982,72.68094,2004
Sweden,SWE,7.75960812,6.663227786,1.200625037,34.83569147,15423.60905,0.201210528,6.035091216,12.54365211,21.91405454,13.78934417,0.373659829,2.35826496,28,56.71,19.32466402,17,,,38,,2489.802834,97.69801893,63.25626997,15.68061545,81.7727414,26.40166677,49.38520239,45.68878791,16.17361724,37.6492743,29993.91377,3.710235056,25.16269748,33.81158226,7.184060429,1.673051516,7.522426974,2.1,22.6,75.1,63.5,16.10000038,55.79999924,27.39999962,18.9,6.5,80.49756098,78.4,65.29290601,5409.351667,84.24,2.07,17.18182983,3.59225E+11,3.6209E+11,16.98847445,3.944030243,3,3.7,8993531,17.64047623,65.14489746,6.472681191,4892.9,1125672,75.40000153,79.5,77.5,32.5,22.29999924,27.10000038,102.08599,66.29786,83.79127,2004
United States,USA,45.2606004,-5.343023261,50.40120954,86.14472507,13376.32317,0.545299312,19.76892829,22.69645426,31.98521707,44.2057909,2.677236693,-0.131143734,34,35,9.97618584,4,,,0,,2977.222003,63.06825823,60.63577186,12.74629922,66.25545478,15.61592577,70.92014256,10.00990493,18.67375532,15.21972859,36253.35272,2.687768353,21.95632295,24.64678328,5.602569163,8.568166276,6.8099654,1.6,20.8,77.6,65.4,10,30.2,59.8,12.7,5.5,77.42512195,74.63,66.67771158,4647.837289,80.46,1.63,30.3319451,1.26708E+13,1.2277E+13,22.52260324,7.464910761,6.8,8,292805298,20.68165207,67.01759338,18.23373267,6851.66,56778332,68.09999847,80.30000305,74.19999695,,,,94.63977,67.55472,80.742,2004
Australia,AUS,57.94475613,-5.895090408,78.60079954,94.50042642,11264.78318,0.746237703,17.84607371,15.7023282,2.654777866,60.30018926,2.668732782,4.77737778,30,47,24.74747911,9,795,945,0,52.8,1945.727113,90.31713966,49.6204915,9.884872615,63.24651382,17.55106582,59.32318353,18.09790639,25.56952209,20.54167783,23914.73069,1.491712411,17.2396269,15.41809388,4.835402087,2.887733989,5.83279872,3.6,21.1,75,64.5,30.89999962,35.5,33.5,18.3,5.099999905,80.84146341,78.5,67.33192601,,88.2,3.07,12.74235358,6.93663E+11,6.93663E+11,27.35550715,7.223190666,4.7,5.6,20394800,19.75659561,67.31537628,6.430626245,2087.332,19086391,68.19999695,82.59999847,75.40000153,37.70000076,30.10000038,33.5,79.22268,63.5805,71.24206,2005
Austria,AUT,39.5755003,2.061608457,13.47998729,76.93128911,7886.266746,0.351340089,8.829237365,33.85179301,99.85809582,19.94822246,2.304785524,,25,50,20.22624592,26,858,913,24,60.2,2247.433631,105.2433411,45.41313932,14.25916704,55.01229155,18.52975766,54.77914286,54.19095174,22.74902499,50.24887724,25130.1734,1.730569101,23.43393845,26.31745704,5.436484031,2.473277072,7.892723755,5.5,27.5,66.7,59,17.79999924,64.09999847,18.10000038,25.3,5.199999809,79.37195122,76.65,67.81057051,3419.163374,66.5,1.84,13.52817624,3.04984E+11,3.04984E+11,22.71068776,2.149170707,4,4.8,8227829,16.02787399,67.91134644,16.82231656,6345.9,818560,65.30000305,78.90000153,72.09999847,16.60000038,19.29999924,18.10000038,51.10276,42.91143,46.94947,2005
Belgium,BEL,45.73976222,2.640654436,12.24258829,74.99701798,8509.970273,0.428096742,10.26751499,23.71600797,346.0584544,17.55837823,2.784303489,4.378441968,33.99,50,26.05851178,20,1600,1600,17,60.2,1975.417914,91.65966036,45.75573189,19.1874335,57.21666436,22.80176328,52.72796315,86.39997358,20.76045502,82.69015503,23984.09983,1.28831837,19.92457979,32.99360412,5.950783972,2.423604491,7.359824579,2,24.7,72.5,53.3,,,,51.6,8.399999619,78.94585366,76.18,65.68623036,3182.455841,97.3,1.84,8.660860191,3.7735E+11,3.7735E+11,21.93220953,8.160076392,4,4.9,10478617,17.08399582,65.65474701,27.84015852,8649.501,322166,59.40000153,73.80000305,66.69999695,40.09999847,31.39999962,35.29999924,68.34211,55.79039,61.98516,2005
Canada,CAN,7.430464144,2.932131871,17.56868358,75.85091229,17318.92176,0.66575526,17.31181035,18.62736965,3.5533034,43.09160993,2.213552034,1.075201286,36.1,29,13.84850547,8,700,850,4,49.1,2337.922419,52.66340678,56.1648923,21.67615746,67.90791037,18.93932722,55.38929064,37.77056364,21.95502404,34.05420553,26003.26485,2.008378923,,,4.931632153,2.942383067,6.954188541,2.7,22.5,74.7,66.7,14.60000038,41.20000076,44.20000076,9.6,6.800000191,80.29268293,78,69.26882852,4156.982775,80.1,1.46,13.15169572,1.13376E+12,1.13376E+12,22.07505213,11.4870027,5.2,6.1,32312000,17.67525101,69.21674347,4.977835841,3215.943,15846800,72.90000153,82.5,77.69999695,49.29999924,39.70000076,44.20000076,,,,2005
Switzerland,CHE,39.025,14.20555533,0,55.76200983,8305.253392,0.155203957,5.565638219,25.29276761,185.9275,14.97547431,1.171971667,3.007728544,21.3,40.4,10.3085832,19,1238,1333,7,29.9,4083.484704,91.89378925,69.24387194,21.83938632,68.26090143,11.68572114,60.22021256,48.78184814,21.58784776,42.2756296,35860.15668,1.984828211,24.05457326,27.83579719,5.711713767,4.555219923,6.681795314,3.8,23.7,72.5,66.8,15.60000038,56.59999847,27.70000076,39,4.400000095,81.28634146,78.74,67.88952617,,73.3,1.28,21.92788365,3.84754E+11,3.84754E+11,21.86382477,3.490501943,4.3,5.1,7437115,16.28160095,67.90058136,10.2175,6300.354,167689,74.40000153,87.40000153,80.90000153,19.79999924,34.20000076,27.60000038,42.42532,48.96237,45.71889,2005
